tool,rerun_reason,previous_result_relpath,previous_timeout_type,previous_identity_status,previous_error,global_index,dataset_name,dataset_dir,dataset_rel,family,subgroup,basename,pool,selection_mode,candidate_advantage_side,train_csv,valid_csv,id_test_csv,ood_test_csv,metadata_yaml,formula_py
gplearn,e1_repair_remaining_20260426,results/W1/gplearn/iaaccn22/g0009_feynman-ii.15.4/result.json,invalid_output,wrong_dataset_collision,"TimeoutError(""算法 'gplearn' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",9,feynman-ii.15.4,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,srsd,srsd/srsd-feynman_easy_dummy,feynman-ii.15.4,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/formula.py
llmsr,e1_repair_remaining_20260426,results/W1/llmsr/iaaccn26/g0009_feynman-ii.15.4/result.json,not_timeout,wrong_dataset_collision,,9,feynman-ii.15.4,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,srsd,srsd/srsd-feynman_easy_dummy,feynman-ii.15.4,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/formula.py
pyoperon,e1_repair_remaining_20260426,results/W2/pyoperon/iaaccn22/g0009_feynman-ii.15.4/result.json,not_timeout,wrong_dataset_collision,,9,feynman-ii.15.4,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,srsd,srsd/srsd-feynman_easy_dummy,feynman-ii.15.4,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/formula.py
pysr,e1_repair_remaining_20260426,results/W3/pysr/iaaccn22/g0009_feynman-ii.15.4/result.json,invalid_output,wrong_dataset_collision,"TimeoutError(""算法 'pysr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",9,feynman-ii.15.4,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,srsd,srsd/srsd-feynman_easy_dummy,feynman-ii.15.4,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/formula.py
tpsr,e1_repair_remaining_20260426,results/W5/tpsr/iaaccn22/g0009_feynman-ii.15.4/result.json,invalid_output,wrong_dataset_collision,"TimeoutError(""算法 'tpsr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",9,feynman-ii.15.4,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,srsd,srsd/srsd-feynman_easy_dummy,feynman-ii.15.4,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/formula.py
pyoperon,e1_repair_remaining_20260426,results/W2/pyoperon/iaaccn22/g0012_feynman-i.26.2/result.json,not_timeout,exact_match,,12,feynman-i.26.2,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.26.2,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.26.2,srsd,srsd/srsd-feynman_easy_dummy,feynman-i.26.2,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.26.2/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.26.2/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.26.2/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.26.2/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.26.2/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.26.2/formula.py
gplearn,e1_repair_remaining_20260426,results/W1/gplearn/iaaccn22/g0015_feynman-i.41.16/result.json,invalid_output,wrong_dataset_collision,"TimeoutError(""算法 'gplearn' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",15,feynman-i.41.16,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,srsd,srsd/srsd-feynman_hard,feynman-i.41.16,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/formula.py
llmsr,e1_repair_remaining_20260426,results/W1/llmsr/iaaccn26/g0015_feynman-i.41.16/result.json,not_timeout,wrong_dataset_collision,,15,feynman-i.41.16,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,srsd,srsd/srsd-feynman_hard,feynman-i.41.16,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/formula.py
pyoperon,e1_repair_remaining_20260426,results/W2/pyoperon/iaaccn22/g0015_feynman-i.41.16/result.json,not_timeout,wrong_dataset_collision,,15,feynman-i.41.16,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,srsd,srsd/srsd-feynman_hard,feynman-i.41.16,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/formula.py
tpsr,e1_repair_remaining_20260426,results/W5/tpsr/iaaccn22/g0015_feynman-i.41.16/result.json,invalid_output,wrong_dataset_collision,"TimeoutError(""算法 'tpsr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",15,feynman-i.41.16,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,srsd,srsd/srsd-feynman_hard,feynman-i.41.16,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/formula.py
pyoperon,e1_repair_remaining_20260426,results/W2/pyoperon/iaaccn22/g0022_feynman-ii.11.20/result.json,not_timeout,wrong_dataset_collision,,22,feynman-ii.11.20,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20,srsd,srsd/srsd-feynman_hard_dummy,feynman-ii.11.20,A,strict,llmsr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/formula.py
pysr,e1_repair_remaining_20260426,results/W3/pysr/iaaccn22/g0022_feynman-ii.11.20/result.json,unvalidated_expression,wrong_dataset_collision,"ValueError('表达式变量索引越界: x5, 输入维度=4')",22,feynman-ii.11.20,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20,srsd,srsd/srsd-feynman_hard_dummy,feynman-ii.11.20,A,strict,llmsr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/formula.py
tpsr,e1_repair_remaining_20260426,results/W5/tpsr/iaaccn22/g0022_feynman-ii.11.20/result.json,invalid_output,wrong_dataset_collision,"TimeoutError(""算法 'tpsr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",22,feynman-ii.11.20,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20,srsd,srsd/srsd-feynman_hard_dummy,feynman-ii.11.20,A,strict,llmsr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/formula.py
llmsr,e1_repair_remaining_20260426,results/W1/llmsr/iaaccn26/g0025_feynman-bonus.4/result.json,not_timeout,wrong_dataset_collision,,25,feynman-bonus.4,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4,srsd,srsd/srsd-feynman_hard_dummy,feynman-bonus.4,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4/formula.py
