dataset_dir,field,old_value,new_value,reason
keijzer/Keijzer-5,splits.valid.ratio,null,0.01,samples / id_test.samples
keijzer/Keijzer-5,splits.id_test.ratio,null,1,samples / id_test.samples
keijzer/Keijzer-5,splits.ood_test.ratio,null,0.1,samples / id_test.samples
keijzer/Keijzer-5,splits.train.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-5,splits.valid.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-5,splits.id_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-5,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-6,splits.train.ratio,null,8,samples / id_test.samples
keijzer/Keijzer-6,splits.valid.ratio,null,1,samples / id_test.samples
keijzer/Keijzer-6,splits.id_test.ratio,null,1,samples / id_test.samples
keijzer/Keijzer-6,splits.ood_test.ratio,null,24,samples / id_test.samples
keijzer/Keijzer-6,splits.train.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-6,splits.valid.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-6,splits.id_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-6,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-7,splits.train.ratio,null,0.0908173562059,samples / id_test.samples
keijzer/Keijzer-7,splits.valid.ratio,null,0.0100908173562,samples / id_test.samples
keijzer/Keijzer-7,splits.id_test.ratio,null,1,samples / id_test.samples
keijzer/Keijzer-7,splits.ood_test.ratio,null,1.00908173562,samples / id_test.samples
keijzer/Keijzer-7,splits.train.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-7,splits.valid.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-7,splits.id_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-7,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-8,splits.train.ratio,null,8.1,samples / id_test.samples
keijzer/Keijzer-8,splits.valid.ratio,null,1,samples / id_test.samples
keijzer/Keijzer-8,splits.id_test.ratio,null,1,samples / id_test.samples
keijzer/Keijzer-8,splits.ood_test.ratio,null,99.1,samples / id_test.samples
keijzer/Keijzer-8,splits.train.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-8,splits.valid.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-8,splits.id_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-8,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-9,splits.train.ratio,null,8.1,samples / id_test.samples
keijzer/Keijzer-9,splits.valid.ratio,null,1,samples / id_test.samples
keijzer/Keijzer-9,splits.id_test.ratio,null,1,samples / id_test.samples
keijzer/Keijzer-9,splits.ood_test.ratio,null,99.1,samples / id_test.samples
keijzer/Keijzer-9,splits.train.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-9,splits.valid.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-9,splits.id_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-9,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-1,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-1,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-1,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-1,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-1,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-1,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-1,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-1,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-10,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-10,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-10,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-10,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-10,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-10,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-10,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-10,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-11,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-11,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-11,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-11,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-11,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-11,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-11,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-11,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-12,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-12,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-12,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-12,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-12,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-12,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-12,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-12,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-2,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-2,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-2,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-2,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-2,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-2,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-2,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-2,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-3,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-3,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-3,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-3,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-3,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-3,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-3,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-3,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-4,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-4,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-4,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-4,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-4,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-4,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-4,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-4,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-5,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-5,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-5,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-5,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-5,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-5,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-5,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-5,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-6,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-6,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-6,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-6,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-6,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-6,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-6,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-6,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-7,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-7,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-7,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-7,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-7,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-7,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-7,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-7,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-8,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-8,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-8,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-8,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-8,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-8,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-8,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-8,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-9,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-9,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-9,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-9,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-9,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-9,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-9,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-9,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
llm-srbench/lsrtransform/I.10.7_1_0,target.ood_range,null,"[-10.268613735, -0.0255404701107]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.11.19_0_0,target.ood_range,null,"[1.45803687973, 140.35424548]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.11.19_1_0,target.ood_range,null,"[-106.517418525, 24.7530835136]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.11.19_2_0,target.ood_range,null,"[-106.209653697, 24.2785369317]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.11.19_3_0,target.ood_range,null,"[1.43070437853, 140.032627989]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.11.19_4_0,target.ood_range,null,"[-107.369652275, 24.1756620469]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.11.19_5_0,target.ood_range,null,"[-105.701166933, 24.8121782994]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.12.2_3_0,target.ood_range,null,"[-331.148509876, -0.103671812744]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.12.4_2_0,target.ood_range,null,"[-413.438846151, -0.209093504887]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.13.12_3_0,target.ood_range,null,"[-7.00114057276, 1.69971322403]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.15.1_1_0,target.ood_range,null,"[-8.55154675856, -0.100083720333]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.15.3t_0_0,target.ood_range,null,"[-542.092102121, 563.574294851]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.24.6_0_0,target.ood_range,null,"[-9.65571933895, 277.317043256]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.24.6_1_1,target.ood_range,null,"[0.0216097275364, 22.6411233718]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.24.6_2_1,target.ood_range,null,"[0.027401756237, 22.6932968679]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.24.6_3_1,target.ood_range,null,"[0.000861255662246, 15.8741546651]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.27.6_2_0,target.ood_range,null,"[-4.24838636679, 55.3872270574]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.29.16_0_0,target.ood_range,null,"[-12.3709141966, 5.17523220277]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.29.16_1_0,target.ood_range,null,"[-12.4106846883, 5.1721530654]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.30.3_0_0,target.ood_range,null,"[-15446719.0576, 5724109709.81]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.32.17_2_0,target.ood_range,null,"[0.0151408551831, 133.243434554]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.32.17_3_0,target.ood_range,null,"[0.00737777203099, 133.164617895]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.32.17_4_3,target.ood_range,null,"[0.180442949217, 4.64881620215]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.32.17_5_3,target.ood_range,null,"[1.04146137033, 43.6622282346]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.32.5_0_1,target.ood_range,null,"[0.0145178785575, 437.932981299]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.32.5_1_1,target.ood_range,null,"[0.00553400115646, 437.750857834]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.34.14_2_0,target.ood_range,null,"[0.251275608854, 9.80001195678]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.34.1_2_0,target.ood_range,null,"[0.151814362027, 11.2788198197]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.37.4_0_1,target.ood_range,null,"[0.49477798234, 39.3147385747]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.37.4_1_1,target.ood_range,null,"[1.48179951302, 19.7403565012]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.40.1_4_0,target.ood_range,null,"[-69.2212422134, 10.8123920756]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.43.43_0_0,target.ood_range,null,"[-340432.830044, 201135.826374]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.43.43_3_0,target.ood_range,null,"[-14.7301271298, 365.951556299]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.44.4_2_0,target.ood_range,null,"[-10638477.1218, 7746504.46369]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.44.4_4_0,target.ood_range,null,"[0, 4909738566056706101638690604810289154646927278489564950703770685563105877366282949492736]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.48.2_1_0,target.ood_range,null,"[-10.2055225917, -0.0283255923243]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.50.26_0_0,target.ood_range,null,"[-7891.20607602, 713.398295458]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.50.26_3_0,target.ood_range,null,"[-6.21330888551, 40.9543418883]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.11.17_0_0,target.ood_range,null,"[-3592030.15983, 178897.436703]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.11.17_2_0,target.ood_range,null,"[-6.03114788442, 3.73955267593]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.11.17_4_0,target.ood_range,null,"[-224.119591847, 165.644413897]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.11.17_5_0,target.ood_range,null,"[-226.828746781, 168.604149943]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.11.20_1_1,target.ood_range,null,"[0.0024569458163, 88.4587430418]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.11.27_0_0,target.ood_range,null,"[-578444.71801, 15264.9130953]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.11.27_1_0,target.ood_range,null,"[-135138.558352, 172728.710091]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.11.27_3_0,target.ood_range,null,"[-53600074.6927, 25059731.4573]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.11.28_0_0,target.ood_range,null,"[-227620.089919, 288573.312384]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.11.3_0_0,target.ood_range,null,"[-2.41630458185, 93.6654668039]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.11.3_2_0,target.ood_range,null,"[-54856.3110959, 95383.4669197]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.11.3_3_1,target.ood_range,null,"[1.07440838945, 667.291534676]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.11.3_4_1,target.ood_range,null,"[0.0455327058578, 7503.77441559]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.13.23_1_0,target.ood_range,null,"[-10.259027178, -0.0540874665104]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.13.34_1_0,target.ood_range,null,"[-8.5739714136, -0.109144953135]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.15.4_1_0,target.ood_range,null,"[-103.371631806, 61.6851704732]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.15.5_0_0,target.ood_range,null,"[-110.067961602, 51.7225146647]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.15.5_1_0,target.ood_range,null,"[-108.882177942, 52.7798774029]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.21.32_2_0,target.ood_range,null,"[-36855.7715349, 293315.250512]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.21.32_3_0,target.ood_range,null,"[-789223.876261, 740881.423393]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.24.17_0_1,target.ood_range,null,"[1.5117334139, 12.8839443197]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.24.17_1_1,target.ood_range,null,"[0.619618640953, 3.84049003476]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.24.17_2_1,target.ood_range,null,"[0.502531141795, 16.3539044001]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.27.16_2_0,target.ood_range,null,"[-28.6684258005, -0.00875802671907]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.27.18_1_0,target.ood_range,null,"[-12.4761665745, -0.0153579800423]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.3.24_1_0,target.ood_range,null,"[-791.945081562, -0.409128543392]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.34.29a_2_0,target.ood_range,null,"[-284214.86295, 56009.5623735]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.34.29b_0_0,target.ood_range,null,"[-169.767589479, 4057.89247213]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.34.29b_2_0,target.ood_range,null,"[-165.861074322, 4068.3949668]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.34.29b_3_0,target.ood_range,null,"[-163.747774545, 3951.587976]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.34.29b_4_0,target.ood_range,null,"[-172.489578602, 4070.65432316]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.34.2_1_0,target.ood_range,null,"[-5.40363812186, 189.216727972]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.35.18_0_0,target.ood_range,null,"[-5252.02597714, 160556.567984]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.35.18_2_1,target.ood_range,null,"[0.0258736013028, 1096.1316051]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.35.18_3_1,target.ood_range,null,"[0.00219008401196, 153.279869642]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.35.18_4_1,target.ood_range,null,"[0.00116970670709, 118.210148889]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.35.21_2_1,target.ood_range,null,"[-85.8196911055, 11.3904152688]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.36.38_0_0,target.ood_range,null,"[-153600.671737, 76654.0379478]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.36.38_1_0,target.ood_range,null,"[-3.49751690946, 133.418695941]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.36.38_3_0,target.ood_range,null,"[-35872.1916295, 32499.4057784]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.36.38_4_0,target.ood_range,null,"[-3786.40776703, 207.041817967]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.36.38_5_0,target.ood_range,null,"[-1845.50732251, 36466.7673678]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.36.38_7_0,target.ood_range,null,"[-3746.72705683, 194.570576569]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.37.1_0_0,target.ood_range,null,"[-2.11099574837, 95.6244552002]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.37.1_1_0,target.ood_range,null,"[-2.08094561512, 94.484281376]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.37.1_2_0,target.ood_range,null,"[-5.62185570371, 211.586044018]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.6.15a_1_0,target.ood_range,null,"[-548.302374185, 11700.5566885]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.6.15a_2_0,target.ood_range,null,"[0.466786806491, 14.5327750832]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.6.15a_3_1,target.ood_range,null,"[0.0518299890055, 16669.634908]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.6.15a_4_1,target.ood_range,null,"[0.0121272051343, 16859.042535]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.6.15a_5_0,target.ood_range,null,"[-530.414805295, 11385.8198574]",computed from ood_test target min/max
