dataset_dir,field,reason,recommendation
srbench2025/blackbox/606_fri_c2_1000_10,features.oz1.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/606_fri_c2_1000_10,features.oz2.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/606_fri_c2_1000_10,features.oz3.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/606_fri_c2_1000_10,features.oz4.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/606_fri_c2_1000_10,features.oz5.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/606_fri_c2_1000_10,features.oz6.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/606_fri_c2_1000_10,features.oz7.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/606_fri_c2_1000_10,features.oz8.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/606_fri_c2_1000_10,features.oz9.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/606_fri_c2_1000_10,features.oz10.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,dataset.ground_truth_formula,formula.py missing,不要伪造公式；若为 blackbox，显式标注 blackbox
srbench2025/blackbox/650_fri_c0_500_50,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/blackbox/650_fri_c0_500_50,features.oz1.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz2.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz3.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz4.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz5.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz6.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz7.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz8.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz9.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz10.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz11.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz12.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz13.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz14.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz15.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz16.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz17.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz18.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz19.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz20.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz21.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz22.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz23.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz24.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz25.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz26.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz27.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz28.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz29.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz30.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz31.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz32.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz33.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz34.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz35.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz36.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz37.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz38.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz39.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz40.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz41.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz42.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz43.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz44.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz45.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz46.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz47.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz48.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz49.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/650_fri_c0_500_50,features.oz50.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/678_visualizing_environmental,dataset.ground_truth_formula,formula.py missing,不要伪造公式；若为 blackbox，显式标注 blackbox
srbench2025/blackbox/678_visualizing_environmental,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/blackbox/678_visualizing_environmental,features.ozone.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/678_visualizing_environmental,features.radiation.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/678_visualizing_environmental,features.temperature.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/firstprinciples/first_principles_absorption,splits.valid.nmse,formula evaluation failed,人工检查 formula.py 与 CSV 列或数值稳定性
srbench2025/firstprinciples/first_principles_absorption,splits.id_test.nmse,formula evaluation failed,人工检查 formula.py 与 CSV 列或数值稳定性
srbench2025/firstprinciples/first_principles_absorption,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/firstprinciples/first_principles_bode,splits.valid.nmse,formula evaluation failed,人工检查 formula.py 与 CSV 列或数值稳定性
srbench2025/firstprinciples/first_principles_bode,splits.id_test.nmse,formula evaluation failed,人工检查 formula.py 与 CSV 列或数值稳定性
srbench2025/firstprinciples/first_principles_bode,splits.ood_test.nmse,formula evaluation failed,人工检查 formula.py 与 CSV 列或数值稳定性
srbench2025/firstprinciples/first_principles_bode,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/firstprinciples/first_principles_hubble,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/firstprinciples/first_principles_ideal_gas,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/firstprinciples/first_principles_kepler,splits.valid.nmse,formula evaluation failed,人工检查 formula.py 与 CSV 列或数值稳定性
srbench2025/firstprinciples/first_principles_kepler,splits.id_test.nmse,formula evaluation failed,人工检查 formula.py 与 CSV 列或数值稳定性
srbench2025/firstprinciples/first_principles_kepler,splits.ood_test.nmse,formula evaluation failed,人工检查 formula.py 与 CSV 列或数值稳定性
srbench2025/firstprinciples/first_principles_kepler,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/firstprinciples/first_principles_leavitt,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/firstprinciples/first_principles_newton,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/firstprinciples/first_principles_planck,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/firstprinciples/first_principles_rydberg,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/firstprinciples/first_principles_schechter,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/firstprinciples/first_principles_supernovae_zr,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/firstprinciples/first_principles_tully_fisher,dataset.citation,semantic attribution required,按来源人工确认引用口径
vladislavleva/Vladislavleva-1,dataset.citation,semantic attribution required,按来源人工确认引用口径
vladislavleva/Vladislavleva-2,dataset.citation,semantic attribution required,按来源人工确认引用口径
vladislavleva/Vladislavleva-3,dataset.citation,semantic attribution required,按来源人工确认引用口径
vladislavleva/Vladislavleva-4,dataset.citation,semantic attribution required,按来源人工确认引用口径
vladislavleva/Vladislavleva-5,dataset.citation,semantic attribution required,按来源人工确认引用口径
vladislavleva/Vladislavleva-6,dataset.citation,semantic attribution required,按来源人工确认引用口径
vladislavleva/Vladislavleva-7,dataset.citation,semantic attribution required,按来源人工确认引用口径
vladislavleva/Vladislavleva-8,dataset.citation,semantic attribution required,按来源人工确认引用口径
